,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
SYKE,0,0,0,0,0
SYNA,0,0,0,0,0
SYF,0.22,0.22,0.22,0.22,0.22
SYNH,0,0,0,0,0
SNX,0.375,0.4,0,0,
SNPS,0,0,0,0,
SNV,0.3,0.3,0.33,0.33,0.33
SYY,0.39,0.45,0.45,0.45,0.45
TROW,0.76,0.76,0.9,0.9,0.9
TRHC,0,0,0,0,0
TCMD,0,0,0,0,0
TTWO,0,0,0,0,0
TALO,0,0,0,0,0
SKT,0.355,0.355,#N/A,0.3575,#N/A
TPR,0.3375,0.3375,0.3375,#N/A,#N/A
TGT,0.66,0.66,0.66,0.68,
TCO,0.675,0.675,0.675,0,0
TMHC,0,0,0,0,0
TCF,0.35,0.35,0.35,0.35,0.35
TEL,0.46,0.46,0.46,0.48,0.48
TISI,0,0,0,0,0
FTI,0.13,0.13,0.13,#N/A,#N/A
TTGT,0,0,0,0,0
TGNA,0.07,0.07,0.07,0.07,0.07
TDY,0,0,0,0,0
TFX,0.34,0.34,0.34,0.34,0.34
TDS,0.165,0.165,0.17,0.17,0.17
TPX,0,0,0,0,0
THC,0,0,0,0,0
TNC,0.22,0.22,0.22,0.22,0.22
TDC,0,0,0,0,0
TER,0.09,0.09,0.1,0.1,0.1
TEX,0.11,0.11,0.12,#N/A,#N/A
TTEK,0.15,0.15,0.15,0.17,0.17
TCBI,0,0,0,0,0
TXN,0.77,0.9,0.9,0.9,0.9
TXRH,0.3,0.3,0.36,#N/A,#N/A
TXT,0.02,0.02,0.02,0.02,0.02
AAN,#N/A,,,,
AES,0.1365,0.1433,0.1433,0.1433,0.1433
ALL,0.5,0.5,0.54,0.54,0.54
ANDE,0.17,0.175,0.175,0.175,0.175
BK,0.31,0.31,0.31,0.31,0.31
BA,2.055,2.055,2.055,0,0
SAM,0,0,0,0,0
BCO,0.15,0.15,#N/A,0.15,0.15
BKE,0.25,0.3,0,0,
CATO,0.33,0.33,0.33,#N/A,
SCHW,0.17,0.17,0.18,0.18,0.18
CAKE,0.36,0.36,0.36,#N/A,#N/A
CHEF,0,0,0,0,0
CC,0.25,0.25,0.25,0.25,0.25
PLCE,0.56,0.56,#N/A,#N/A,
CLX,1.06,1.06,1.06,1.11,1.11
KO,0.4,0.4,0.41,0.41,0.41
COO,0,0.03,0,0.03,
SSP,0.05,0.05,0.05,0.05,0.05
ENSG,0.0475,0.05,0.05,0.05,0.05
EL,0.43,0.48,0.48,0,0.48
GPS,0.2425,0.2425,0.2425,#N/A,
GEO,0.48,0.48,0.48,0.48,0.48
GS,1.25,1.25,1.25,1.25,1.25
GT,0.16,0.16,0.16,#N/A,#N/A
GBX,0.25,#N/A,0.27,0.27,
HAIN,0,0,0,0,0
THG,0.6,0.65,0.65,0.65,0.65
HIG,0.3,0.3,0.325,0.325,0.325
HSY,0.773,0.773,0.773,0.773,0.804
HD,1.36,1.36,1.5,1.5,
IPG,0.235,0.235,0.255,0.255,0.255
SJM,0.88,#N/A,0.88,0.9,
KHC,0.4,0.4,0.4,0.4,0.4
KR,0.16,0.16,0.16,0.18,
MAC,0.75,0.75,0.75,0.5,0.15
MCS,0.16,0.16,0.17,0,0
