Symbol,Q3 2019 Share Price,Q4 2019 Share Price,Q1 2020 Share Price,Q2 2020 Share Price,Q3 2020 Share Price
ETSY,56.5,44.3,38.44,106.23,121.63
EVRG,66.56,65.09,55.05,59.29,50.82
ES,85.47,85.07,78.21,83.27,83.55
RE,266.09,276.84,192.42,206.2,197.54
EXC,48.31,45.59,36.81,36.29,35.76
EXPE,134.41,108.14,56.27,82.2,91.69
EXPD,74.29,78.02,66.72,76.04,90.52
EXR,116.82,105.62,95.76,92.37,106.99
XOM,70.61,69.78,37.97,44.72,34.33
FFIV,140.42,139.65,106.63,139.48,122.77
FB,178.08,205.25,166.8,227.07,261.9
FAST,32.67,36.95,31.25,42.84,45.09
FRT,136.14,128.73,74.61,85.21,73.44
FDX,160.05,141.17,130.56,219.84,
FIS,132.76,139.09,121.64,134.09,147.21
FITB,27.38,30.74,14.85,19.28,21.32
FE,48.23,48.6,40.07,38.78,28.71
FRC,96.7,117.45,82.28,105.99,109.06
FISV,103.59,115.63,94.99,97.62,103.05
FLT,286.78,287.72,186.54,251.53,238.1
FLIR,52.59,52.07,31.89,40.57,35.85
FLS,46.71,49.77,23.89,28.52,27.29
FMC,87.68,99.82,81.69,99.62,105.91
F,9.16,9.3,4.83,6.08,6.66
FTNT,76.76,106.76,101.17,137.27,117.81
FTV,57.327526,63.874702,46.147987,56.57498,63.724194
FBHS,54.7,65.34,43.25,63.93,86.52
FOXA,31.535,37.07,23.63,26.82,27.83
FOX,31.54,36.4,22.88,26.84,27.97
BEN,28.86,25.98,16.69,20.97,20.35
FCX,9.57,13.12,6.75,11.57,15.64
GPS,16.26,17.41,8.12,13.37,
GRMN,84.69,97.56,74.96,97.5,94.86
IT,142.99,154.1,99.57,121.33,124.95
GD,182.73,176.35,132.31,149.46,138.43
GE,8.94,11.16,7.94,6.83,6.23
GIS,53.32,49,63.04,63.95,
GM,37.48,36.6,20.78,25.3,29.59
GPC,99.59,106.23,67.33,86.96,95.17
GILD,63.38,64.98,74.76,76.94,63.19
GL,95.76,105.25,71.97,74.23,79.9
GPN,159,182.56,144.23,169.62,177.58
GS,207.23,229.93,154.59,197.62,200.97
GWW,297.15,338.52,248.5,314.16,356.77
HAL,18.85,24.47,6.85,12.98,12.05
HBI,15.32,14.85,7.87,11.29,15.75
HIG,60.61,60.77,35.24,38.55,36.86
HAS,118.69,105.61,71.55,74.95,82.72
HCA,120.42,147.81,89.85,97.06,124.68
PEAK,35.63,34.47,23.85,27.56,27.15
HSIC,63.5,66.72,50.52,58.39,58.78
HSY,154.99,146.98,132.5,129.62,143.34
HES,60.48,66.81,33.3,51.81,40.93
HPE,16.41,13.93,10.06,9.87,
HLT,93.11,110.91,68.24,73.45,85.32
HFC,53.64,50.71,24.51,29.2,19.71
HOLX,50.49,52.21,35.1,57,66.47
HD,234.58,228.1,219.83,265.49,
HON,169.2,177,133.79,144.59,164.61
HRL,40.89,47.26,46.85,50.86,
HST,17.29,18.55,11.04,10.79,10.79
HWM,21.143211,25.022179,13.059999,15.85,16.72
HPQ,17.37,21.32,15.51,17.58,
HUM,255.67,366.52,314.02,387.75,413.89
HBAN,14.27,15.08,8.21,9.035,9.17
HII,211.79,250.88,182.21,174.49,140.75
IEX,163.88,172,138.11,158.04,182.41
IDXX,271.93,261.13,242.24,330.16,393.11
INFO,72.65,71.24,69.46,79.92,
ITW,156.49,179.63,142.12,174.85,193.21
ILMN,304.22,331.74,273.12,370.35,309.08
INCY,74.23,87.32,73.23,103.97,89.74
IR,28.29,36.68,24.8,28.12,35.6
INTC,51.53,59.85,54.12,59.83,51.78
ICE,92.27,92.55,80.75,91.6,100.05
IBM,145.42,134.04,110.93,120.77,121.67
IP,41.82,46.05,31.13,35.21,40.54
IPG,21.56,23.1,16.19,17.16,16.67
IFF,122.69,129.02,102.08,122.46,122.45
INTU,257.5,280.38,269.81,306.37,
ISRG,539.93,591.15,495.21,569.83,709.54
IVZ,16.94,17.98,9.08,10.76,11.41
